ubrn,crn,nameline,tradstyle,address1,address2,address3,address4,address5,postcode,sic07,paye_jobs,turnover,legalstatus,trading_status,birth_date,death_date,death_code,uprn
1000012345000001,12000531,BIG BOX CEREAL 5 LTD,,(ROADWORKS) ,STAFFERTON WAY,MAIDENHEAD BERKS,,,SL6 1AZ,10612,1,10,1,A,01/04/2017,,,10023450194
1000012345000002,12021594,BIG BOX CEREAL 25 LTD,,(ROCKLEY DENE) ,CHERRYS ROAD,CUNDY CROSS,BARNSLEY,,S71 5QU,10612,1,10,1,A,01/04/2017,,,10023450191
1000012345000003,12048530,BIG BOX CEREAL 47 LTD,,(ROOFING SUPPLIES) ,163 FRESTON RD,LONDON,,,W10 6SQ,10612,1,10,1,A,01/04/2017,,,10023450204
1000012345000004,12094821,BIG BOX CEREAL 10 LTD,,(ROCHDALE),REDCROSS ST,ROCHDALE LANCS,,,OL12 0NS,10612,1,10,1,A,01/04/2017,,,10023450169
1000012345000005,12105317,BIG BOX CEREAL 37 LTD,,(ROMFORD) ,2 HIGH GARTH,ESHER,SURREY,,KT10 9DN,10612,1,10,1,A,01/04/2017,,,10023450152
1000012345000006,12117650,BIG BOX CEREAL LTD,,(ROAD MAINTENANCE) ,CENTURY HOUSE  CENTURY RD,RETFORD,NOTTS,,DN22 7TD,10612,1,10,1,A,01/04/2017,,,10023450134
1000012345000007,12146788,BIG BOX CEREAL 23 LTD,,(ROCHESTER & MEDWAY DIST),12A NEW ROAD AVENUE,CHATHAM,KENT,,ME4 6BB,10612,1,10,1,A,01/04/2017,,,10023450160
1000012345000008,12146805,BIG BOX CEREAL 43 LTD,,(ROOFING CONTRACTORS),23 MILTON ROAD,WAKEFIELD,W YORKSHIRE,,WF2 8TL,10612,1,10,1,A,01/04/2017,,,10023450208
1000012345000009,12174673,BIG BOX CEREAL 27 LTD,,(ROIT/COIT) (2731-2734),93 EBURY BRIDGE RD,LONDON,,,SW1W 8RB,10612,1,10,1,A,01/04/2017,,,10023450198
1000012345000010,12213988,BIG BOX CEREAL 13 LTD,,(ROCHDALE),YORK STREET,NEWBOLD,ROCHDALE,LANCS,OL16 5NZ,10612,1,10,1,A,01/04/2017,,,10023450178
1000012345000011,12213989,BIG BOX CEREAL 11 LTD,,(ROCHDALE),EDENFIELD ST,SPOTLAND,ROCHDALE,LANCS,OL12 7BP,10612,1,10,1,A,01/04/2017,,,10023450172
1000012345000012,12213990,BIG BOX CEREAL 15 LTD,,(ROCHDALE) ,WOOL HOUSE,20-24 CHEETHAM ST,ROCHDALE,LANCS,OL16 1DL,10612,1,10,1,A,01/04/2017,,,10023450175
1000012345000013,12213991,BIG BOX CEREAL 16 LTD,,(ROCHDALE) ,11 TWEEDALE STREET,ROCHDALE,LANCS,,OL11 1HH,10612,1,10,1,A,01/04/2017,,,10023450165
1000012345000014,12213992,BIG BOX CEREAL 12 LTD,,(ROCHDALE),NORDEN ROAD,BAMFORD,ROCHDALE,LANCASHIRE,OL11 5PN,10612,1,10,1,A,01/04/2017,,,10023450168
1000012345000015,12214913,BIG BOX CEREAL 14 LTD,,(ROCHDALE),37 ST ALBANS ST,ROCHDALE,LANCS,,OL16 1UT,10612,1,10,1,A,01/04/2017,,,10023450176
1000012345000016,12228814,BIG BOX CEREAL 42 LTD,,(ROOFING CONTRACTORS),34 THIRD AVE,DRUM INDUSTRIAL ESTATE,BIRTLEY,TYNE & WEAR,DH2 2EF,10612,1,10,1,A,01/04/2017,,,10023450131
1000012345000017,12240849,BIG BOX CEREAL 50 LTD,,(ROOM 43 - BUILDING 99),GATWICK AIRPORT,WEST SUSSEX,,,RH6 0LD,10612,1,10,1,A,01/04/2017,,,10023450184
1000012345000018,12242321,BIG BOX CEREAL 39 LTD,,(ROOF CONTRACTOR),2 ALEXANDER PLACE,STEVENSTON,AYRSHIRE,,KA20 3AE,10612,1,10,1,A,01/04/2017,,,10023450151
1000012345000019,12245644,BIG BOX CEREAL 51 LTD,,(ROOM 43 - BUILDING 99),GATWICK AIRPORT,WEST SUSSEX,,,RH6 0LD,10612,1,10,1,A,01/04/2017,,,10023450184
1000012345000020,12255898,BIG BOX CEREAL 55 LTD,,(ROSE GARDEN CENTRE),167 KINGSWAY,DERRIAGHY,,,BT17 9RY,10612,1,10,1,A,01/04/2017,,,10023450107
1000012345000021,12259635,BIG BOX CEREAL 36 LTD,,(ROMFORD) ,UNIT 5 DOMINION WORKS,FRESHWATER ROAD,DAGENHAM ESSEX,,RM8 1HJ,10612,1,10,1,A,01/04/2017,,,10023450189
1000012345000022,12281636,BIG BOX CEREAL 49 LTD,,(ROOM 210),NORTHUMBERLAND STREET,HUDDERSFIELD,,,HD1 1AA,10612,1,10,1,A,01/04/2017,,,10023450148
1000012345000023,12292633,BIG BOX CEREAL 24 LTD,,(ROCHESTER) ,THE GREEN,BEARSTED,MAIDSTONE,,ME14 4DY,10612,1,10,1,A,01/04/2017,,,10023450159
1000012345000024,12304213,BIG BOX CEREAL 35 LTD,,(ROMFORD),224 MAIN ROAD,GIDEA PARK,ROMFORD,ESSEX,RM2 5HA,10612,1,10,1,A,01/04/2017,,,10023450188
1000012345000025,12309927,BIG BOX CEREAL 44 LTD,,(ROOFING CONTRACTORS) ,VICTORIA STREET,BASFORD,STOKE ON TRENT,STOKE-ON-TRENT,ST4 6DU,10612,1,10,1,A,01/04/2017,,,10023450196
1000012345000026,12311102,BIG BOX CEREAL 6 LTD,,(ROB NORTHEN COMPUTING),SEKONDI  ALMA ROAD,HEADLEY DOWN,BORDON,HAMPSHIRE,GU35 8JR,10612,1,10,1,A,01/04/2017,,,10023450144
1000012345000027,12315567,BIG BOX CEREAL 48 LTD,,(ROOFING) ,9 PEEL LANE,PARTICK,GLASGOW,,G11 5LL,10612,1,10,1,A,01/04/2017,,,10023450139
1000012345000028,12319481,BIG BOX CEREAL 26 LTD,,(ROGANS),HOPTON NEW ROAD,MIRFIELD,W YORKSHIRE,,WF14 8NF,10612,1,10,1,A,01/04/2017,,,10023450207
1000012345000029,12337373,BIG BOX CEREAL 45 LTD,,(ROOFING CONTRACTORS) ,36 HANGLETON WAY,HOVE,E SUSSEX,,BN3 8AG,10612,1,10,1,A,01/04/2017,,,10023450104
1000012345000030,12375902,BIG BOX CEREAL 41 LTD,,(ROOF TRUSS MANUFACTURE),JOSEPH NOBLE ROAD,LILLYHALL EST,WORKINGTON,CUMBRIA,CA14 4JX,10612,1,10,1,A,01/04/2017,,,10023450115
1000012345000031,12383697,BIG BOX CEREAL 40 LTD,,(ROOF CONTRACTOR),2 ALEXANDER PLACE,STEVENSTON,AYRSHIRE,,KA20 3AE,10612,1,10,1,A,01/04/2017,,,10023450151
1000012345000032,12386585,BIG BOX CEREAL 53 LTD,,(ROOM 9/10),LEEGOMERY COMMUNITY CENTRE,LEEGATE AVENUE,TELFORD,,TF1 6NA,10612,1,10,1,A,01/04/2017,,,10023450200
1000012345000033,12468391,BIG BOX CEREAL 18 LTD,,(ROCHDALE) ,244 WHITWORTH RD,FIELDHOUSE IND ESTATE,ROCHDALE,LANCS,OL12 0SA,10612,1,10,1,A,01/04/2017,,,10023450171
1000012345000034,12475045,BIG BOX CEREAL 28 LTD,,(ROMA FASHIONS) ,0 WINDMILL STREET,GRAVESENT,KENT,,DA12 1AF,10612,1,10,1,A,01/04/2017,,,10023450125
1000012345000035,12477828,BIG BOX CEREAL 19 LTD,,(ROCHDALE) ,REDCROSS ST WORKS,REDCROSS ST,ROCHDALE,LANCS,OL12 0NZ,10612,1,10,1,A,01/04/2017,,,10023450170
1000012345000036,12487119,BIG BOX CEREAL 32 LTD,,(ROMFORD 1),88-100 SOUTH STREET,ROMFORD,ESSEX,,RM1 1RX,10612,1,10,1,A,01/04/2017,,,10023450185
1000012345000037,12487121,BIG BOX CEREAL 33 LTD,,(ROMFORD 2),QUEENS MOAT HOUSE,ST EDWARDS WAY,ROMFORD,ESSEX,RM1 4DD,10612,1,10,1,A,01/04/2017,,,10023450186
1000012345000038,12538434,BIG BOX CEREAL 21 LTD,,(ROCHDALE) ,HAMER MACHINE WORKS,RED LANE,ROCHDALE,LANCS,OL12 9DB,10612,1,10,1,A,01/04/2017,,,10023450174
1000012345000039,12542140,BIG BOX CEREAL 52 LTD,,(ROOM 9/10),LEEGOMERY COMMUNITY CENTRE,LEEGATE AVENUE,TELFORD,,TF1 6NA,10612,1,10,1,A,01/04/2017,,,10023450200
1000012345000040,12548573,BIG BOX CEREAL 3 LTD,,(ROAD TRANSPORT ),UNIT 134,CLYDESDALE PLACE,MOSS SIDE INDUSTRIAL ESTATE,LEYLAND PRESTON,PR26 7QS,10612,1,10,1,A,01/04/2017,,,10023450182
1000012345000041,12612278,BIG BOX CEREAL 56 LTD,,(ROSE GARDEN),GLENGORMLEY,BELFAST,,,BT36 5HE,10612,1,10,1,A,01/04/2017,,,10023450109
1000012345000042,12648116,BIG BOX CEREAL 22 LTD,,(ROCHDALE) F,PHOENIX PARK SITE,GREEN LANE,HEYWOOD,LANCS,OL10 2EW,10612,1,10,1,A,01/04/2017,,,10023450164
